Location,Lon,Lat
TFWFD1,-122.4304751,47.20415024
SEAI1S8D_OUT,-122.2776301,47.51420579
TAC001S8D_OF2,-122.4395764,47.24577693
TAC003S8D_OF2,-122.4204566,47.23909413
PIEHIRES_OUT,-122.3175927,47.13009025
PIELORES_OUT,-122.6395466,47.32489753
SNO_COM,-122.2439709,47.88238628
SNO_LDR,-122.1014385,47.8640767
SEAC1S8D_OUT,-122.3151072,47.66188192
POSOUTFALL_60,-122.4053428,47.68067917
SEAR1S8D_OUT,-122.3564698,47.71886038
POT564S8D_OUT,-122.4139554,47.26940901
PIECOMM_OUT,-122.3566406,47.15435407
SNO_HDR,-122.1915391,47.84740081
KICCOMS8D_OUT,-121.8890867,47.56576596
KICLDRS8D_OUT,-122.1430769,47.51101808
KICHDRS8D_OUT,-121.8940183,47.56450102
